"";"ID";"Inserir.localização.geográfica.do.serviço (Atualizar com base no Google Earth)";"groups1a._geo_kml_latitude";"groups1a._geo_kml_longitude";"groups1a._geo_kml_altitude";"groups1a._geo_kml_precision"
"123";"q123_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Vila.Verde..Unidade.Bromélias.";NA;NA;NA;NA;NA
"124";"q124_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Juiz.de.Fora.Contra.as.Drogas";"-21.799662332558423 -43.348124391699116 839.7567380851509 16.0";-21,7996623325584;-43,3481243916991;839,756738085151;16
"125";"q125_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Tratamento.Deville";"-21.837414238259694 -43.41336795765311 555.2037525196054 12.0";-21,8374142382597;-43,4133679576531;555,203752519605;12
"126";"q126_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Núcleo.de.Apoio.aos.Toxicômanos.Anônimos.de.Juiz.de.Fora..NATA.";NA;NA;NA;NA;NA
"127";"q127_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Metodista.de.Assistência.aos.Toxicômanos...CEMAT";NA;NA;NA;NA;NA
"128";"q128_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Comunidade.Terapêutica.Família.em.Cristo";"-21.806872684857815 -43.353482353559144 816.8726673144822 12.0";-21,8068726848578;-43,3534823535591;816,872667314482;12
"129";"q129_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.SOS.Vida";NA;NA;NA;NA;NA
"130";"q130_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Terapêutico.Reconstruir..fazenda.";NA;NA;NA;NA;NA
"131";"q131_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Reencontro.com.a.Vida";NA;NA;NA;NA;NA
"132";"q132_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI";"-21.77012242 -43.29504532 643.7999877929688 10.0";-21,77012242;-43,29504532;643,799987792969;10
"133";"q133_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Associação.Projeto.Amor.e.Resgate";NA;NA;NA;NA;NA
"134";"q134_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Comunidade.Terapêutica.Geração.de.Adoradores...CTGA";NA;NA;NA;NA;NA
"135";"q135_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Vila.Verde..Unidade.Borboleta.";NA;NA;NA;NA;NA
"136";"q136_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Resgatando.Vidas";NA;NA;NA;NA;NA
"137";"q137_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI.1";NA;NA;NA;NA;NA
"138";"q138_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos…Território Aliança Zona Norte";"-21.701008386759074 -43.42773720723765 673.7759132808256 24.0";-21,7010083867591;-43,4277372072376;673,775913280826;24
"139";"q139_Residência.Terapeutica...Casa.1";NA;NA;NA;NA;NA
"140";"q140_Residência.Terapeutica...Casa.3";NA;NA;NA;NA;NA
"141";"q141_Residência.Terapeutica...Casa.4";NA;NA;NA;NA;NA
"142";"q142_Residência.Terapeutica...Casa.5";NA;NA;NA;NA;NA
"143";"q143_Residência.Terapeutica...Casa.6";NA;NA;NA;NA;NA
"144";"q144_Residência.Terapeutica...Casa.7";NA;NA;NA;NA;NA
"145";"q145_Residência.Terapeutica...Casa.V1";NA;NA;NA;NA;NA
"146";"q146_Residência.Terapeutica...Casa.V2";NA;NA;NA;NA;NA
"147";"q147_Residência.Terapeutica...Casa.V3";NA;NA;NA;NA;NA
"148";"q148_Residência.Terapeutica...Casa.V4";NA;NA;NA;NA;NA
"149";"q149_Residência.Terapeutica...Casa.V5";"-21.7932348 -43.3497176 0.0 2573.0";-21,7932348;-43,3497176;0;2573
"150";"q150_Residência.Terapeutica...Casa.V6";NA;NA;NA;NA;NA
"151";"q151_Entidades.Socioassistenciais...Associação.Beneficente.e.Cultural.Amigos.do.Noivo..ABAN...Matriz.";"-21.762387252377547 -43.34889456412234 692.675143151181 32.0";-21,7623872523775;-43,3488945641223;692,675143151181;32
