R�tulos de Linha;Contagem de target
q7_UAPS.RURAL...Jacutinga;3
q70_Ajuda.M̼tua...ALANOM.Grupo.Renascer;1
q71_Ajuda.M̼tua...ALANOM.Grupo.S�_.Por.Hoje;3
q72_Ajuda.M̼tua...GEVE;2
q73_Ajuda.M̼tua...Grupo.A.A.Juiz.de.Fora..Sala.de.abordagem.;4
q74_Ajuda.M̼tua...Grupo.A.A..Central;12
q75_Ajuda.M̼tua...Grupo.A.A..Liberta̤̣o;5
q76_Ajuda.M̼tua...Grupo.A.A..Reunos;8
q77_Ajuda.M̼tua...Grupo.N.A..Gl�_ria;10
q78_Ajuda.M̼tua...Grupo.N.A..Liberta̤̣o;4
q79_Ajuda.M̼tua...NARANOM.Grupo.Gl�_ria;3
q8_UAPS.RURAL...Monte.Verde;6
q80_Ajuda.M̼tua...NARANOM.Grupo.Parque.Halfeld;1
q81_Ajuda.M̼tua...Pastoral.da.Sobriedade;3
q82_Ajuda.M̼tua...Grupo.A.A..Azul.e.Branco;3
q83_Ajuda.M̼tua...NARANOM.Grupo.Renascer;2
q84_Ajuda.M̼tua...Grupo.A.A..29.de.Junho;4
q85_Ajuda.M̼tua...Grupo.A.A..Cade.do.Sol;4
q86_Ajuda.M̼tua...Grupo.A.A..Caminho.Da.Salva̤̣o;3
q87_Ajuda.M̼tua...Grupo.A.A..Dois.de.Mar̤o;3
q88_Ajuda.M̼tua...Grupo.A.A..Corrente.da.Sobriedade;4
