"","temp_indegree","temp_outdegree","temp_totaldegree","temp_incloseness","temp_outcloseness","temp_totalcloseness","temp_betweenness","temp_eigenvector","temp_reach_in_vec","temp_reach_out_vec"
"175",3,0,3,6.4e-05,2.9e-05,0.00062,0,0.014,0.561497326203209,NA
"176",4,0,4,6.4e-05,2.9e-05,0.00062,0,0.006,0.561497326203209,NA
"177",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"178",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"179",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"180",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"181",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"182",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"183",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"184",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"185",2,0,2,6.3e-05,2.9e-05,0.00057,0,0,0.566844919786096,NA
"186",2,0,2,6.3e-05,2.9e-05,0.00057,0,0,0.566844919786096,NA
"187",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"188",1,0,1,6.2e-05,2.9e-05,0.00057,0,0,0.561497326203209,NA
"189",1,0,1,6.2e-05,2.9e-05,0.00057,0,0,0.561497326203209,NA
"190",1,0,1,6.3e-05,2.9e-05,0.000606,0,0,0.561497326203209,NA
"191",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"192",2,0,2,6.4e-05,2.9e-05,0.000631,0,0.081,0.561497326203209,NA
"193",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"194",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"195",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,0.0053475935828877
