"","atividade_indegree","atividade_outdegree","atividade_totaldegree","atividade_incloseness","atividade_outcloseness","atividade_totalcloseness","atividade_betweenness","atividade_eigenvector","atividade_reach_in_vec","atividade_reach_out_vec"
"26",3,2,5,0.00013457139012246,0.00117370892018779,0.00165016501650165,121.3,0.105,0.796791443850267,NA
"23",5,2,7,0.000134734572891404,0.00117370892018779,0.00166666666666667,126.1,0.138,0.796791443850267,NA
"31",6,6,12,0.000134716421931833,0.00119189511323004,0.00166112956810631,133.2,0.162,0.796791443850267,NA
"33",6,6,12,0.000134752728742757,0.00119904076738609,0.00173010380622837,133.3,0.133,0.796791443850267,NA
"34",7,4,11,0.000134789055128724,0.001194743130227,0.00173010380622837,7.4,0.149,0.796791443850267,NA
"35",9,6,15,0.000134825401105568,0.00118764845605701,0.00168918918918919,138.4,0.181,0.796791443850267,NA
"40",6,6,12,0.000134661998384056,0.00120048019207683,0.00168918918918919,267.1,0.154,0.796791443850267,NA
"42",8,6,14,0.000134752728742757,0.00119189511323004,0.00176678445229682,133.4,0.164,0.796791443850267,NA
"186",25,16,41,0.000135189941868325,0.00127877237851662,0.00180505415162455,479,0.352,0.796791443850267,NA
"113",4,4,8,0.000130497194310322,0.000999000999000999,0.00133689839572193,0,0.002,0.796791443850267,NA
"114",4,4,8,0.000130497194310322,0.000999000999000999,0.00133689839572193,0,0.002,0.796791443850267,NA
"115",4,4,8,0.000130497194310322,0.000999000999000999,0.00133689839572193,0,0.002,0.796791443850267,NA
"116",4,4,8,0.000130497194310322,0.000999000999000999,0.00133689839572193,0,0.002,0.796791443850267,NA
"47",7,4,11,0.000134752728742757,0.00118483412322275,0.00166666666666667,436.1,0.155,0.796791443850267,NA
"76",8,1,9,0.000133368898372899,0.00107411385606874,0.00165016501650165,325.1,0.062,0.796791443850267,NA
"104",11,7,18,0.000132996409096954,0.00121802679658952,0.0017636684303351,1438.7,0.025,0.796791443850267,NA
"30",6,5,11,0.000134770889487871,0.00121506682867558,0.00165289256198347,43,0.155,0.796791443850267,NA
"127",9,4,13,0.000133422281521014,0.00120627261761158,0.00170648464163823,110.5,0.044,0.796791443850267,NA
"130",2,2,4,0.000129769011160135,0.00116009280742459,0.00158730158730159,183,0,0.796791443850267,NA
"46",5,16,21,0.000134643866971859,0.00123152709359606,0.00171821305841924,341.1,0.136,0.796791443850267,NA
"53",3,5,8,0.000134589502018843,0.00117924528301887,0.00165289256198347,16.8,0.112,0.796791443850267,NA
"54",4,6,10,0.000134607618791224,0.00119047619047619,0.00165837479270315,18.5,0.114,0.796791443850267,NA
"91",1,8,9,0.000130106687483737,0.00121802679658952,0.00165837479270315,5.1,0.002,0.796791443850267,NA
"135",2,2,4,0.000130344108446298,0.000889679715302491,0.001194743130227,0,0.002,0.796791443850267,NA
"168",4,3,7,0.000132872707945788,0.00106157112526539,0.00152905198776758,656.5,0.028,0.796791443850267,NA
"55",9,9,18,0.000134770889487871,0.00120336943441637,0.00168067226890756,122.8,0.19,0.796791443850267,NA
"119",6,3,9,0.00013290802764487,0.00118906064209275,0.00175746924428822,29.4,0.026,0.796791443850267,NA
"120",2,1,3,0.000129769011160135,0.000956937799043062,0.00131752305665349,0,0,0.796791443850267,NA
"121",3,2,5,0.000131302521008403,0.00098135426889107,0.0013986013986014,0,0.009,0.796791443850267,NA
"24",7,2,9,0.000134807225667296,0.00118203309692671,0.00165562913907285,119.3,0.156,0.796791443850267,NA
"169",8,21,29,0.000134807225667296,0.00125470514429109,0.00173310225303293,876.1,0.204,0.796791443850267,NA
"157",2,2,4,0.000130821559392988,0.001001001001001,0.00137741046831956,31.6,0.002,0.796791443850267,NA
