"","var5_indegree","var5_outdegree","var5_totaldegree","var5_incloseness","var5_outcloseness","var5_totalcloseness","var5_betweenness","var5_eigenvector","var5_reach_in_vec","var5_reach_out_vec"
"40",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"42",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"186",3,1,4,2.92192613370734e-05,3.12324317571366e-05,0.000100532823967025,0.5,0,0.0213903743315508,NA
"113",1,0,1,2.9375477351507e-05,2.87505031338048e-05,9.98003992015968e-05,0,0,0.0267379679144385,NA
"114",1,0,1,2.9375477351507e-05,2.87505031338048e-05,9.98003992015968e-05,0,0,0.0267379679144385,NA
"115",1,0,1,2.9375477351507e-05,2.87505031338048e-05,9.98003992015968e-05,0,0,0.0267379679144385,NA
"116",1,0,1,2.9375477351507e-05,2.87505031338048e-05,9.98003992015968e-05,0,0,0.0267379679144385,NA
"47",3,0,3,2.95386069592958e-05,2.87505031338048e-05,0.000102595670462706,0,0,0.0320855614973262,NA
"76",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"104",2,4,6,2.9218407596786e-05,2.93789294318115e-05,0.000101163378856854,12,0,0.0213903743315508,NA
"30",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"127",2,0,2,2.93772032902468e-05,2.87505031338048e-05,0.000100381449508131,0,0,0.0267379679144385,NA
"130",1,0,1,2.89050757312984e-05,2.87505031338048e-05,2.89050757312984e-05,0,0,0.0106951871657754,NA
"46",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102040816326531,0,0,0.0213903743315508,NA
"53",2,0,2,2.95377344557672e-05,2.87505031338048e-05,0.000102427532520742,0,0,0.0320855614973262,NA
"54",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"91",0,4,4,2.87505031338048e-05,3.12353584257379e-05,0.00010048231511254,0,0,0.0053475935828877,NA
"135",2,0,2,2.90613193839e-05,2.87505031338048e-05,2.90613193839e-05,0,0,0.0160427807486631,NA
"168",1,2,3,2.89050757312984e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0106951871657754,NA
"55",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"119",2,1,3,2.9218407596786e-05,2.89050757312984e-05,0.000101708706265256,2,0,0.0213903743315508,NA
"120",0,1,1,2.87505031338048e-05,2.89050757312984e-05,2.89050757312984e-05,0,0,0.0053475935828877,NA
"121",2,0,2,2.90613193839e-05,2.87505031338048e-05,2.90613193839e-05,0,0,0.0160427807486631,NA
"24",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"169",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"157",1,1,2,2.89050757312984e-05,2.9060474848159e-05,2.9060474848159e-05,0,0,0.0106951871657754,NA
"155",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"140",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"141",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"38",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"48",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101153145862836,0,0,0.0160427807486631,NA
"62",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"142",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"143",1,0,1,2.95342449570277e-05,2.87505031338048e-05,9.94233446013124e-05,0,0,0.0320855614973262,NA
"65",4,0,4,2.9539479514371e-05,2.87505031338048e-05,0.000102061645233721,0,0,0.0320855614973262,NA
"66",4,1,5,2.93789294318115e-05,2.96991476344629e-05,0.000102061645233721,6,0,0.0267379679144385,NA
"6",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"21",4,0,4,2.9539479514371e-05,2.87505031338048e-05,0.000102061645233721,0,0,0.0320855614973262,NA
"25",1,0,1,2.93737516155563e-05,2.87505031338048e-05,0.000100150225338007,0,0,0.0267379679144385,NA
"29",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"41",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102030405060708,0,0,0.0213903743315508,NA
"43",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102030405060708,0,0,0.0213903743315508,NA
"45",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102030405060708,0,0,0.0213903743315508,NA
"56",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000102009588901357,0,0,0.0160427807486631,NA
"57",3,0,3,2.95386069592958e-05,2.87505031338048e-05,0.000102595670462706,0,0,0.0320855614973262,NA
"60",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"153",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"8",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"12",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"18",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"2",1,0,1,2.9060474848159e-05,2.87505031338048e-05,1e-04,0,0,0.0160427807486631,NA
"3",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"5",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"15",1,0,1,2.93737516155563e-05,2.87505031338048e-05,0.000100150225338007,0,0,0.0267379679144385,NA
"16",1,0,1,2.9060474848159e-05,2.87505031338048e-05,1e-04,0,0,0.0160427807486631,NA
"17",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"19",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"27",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"28",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"32",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.000101461038961039,0,0,0.0106951871657754,NA
"36",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"39",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"44",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101142914938809,0,0,0.0160427807486631,NA
"49",3,0,3,2.92192613370734e-05,2.87505031338048e-05,0.000102040816326531,0,0,0.0213903743315508,NA
"50",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101153145862836,0,0,0.0160427807486631,NA
"52",6,0,6,3.02014436290055e-05,2.87505031338048e-05,0.000102912421529279,0,0,0.053475935828877,NA
"58",3,0,3,2.95386069592958e-05,2.87505031338048e-05,0.000101337657073368,0,0,0.0320855614973262,NA
"59",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
