"";"from";"to";"var0";"var1";"var2";"var3";"var4";"var5";"var6";"var7";"var8";"var9";"var10";"var11";"var12";"var13";"var14";"var15";"var16";"var17";"var18";"var19";"var20";"var21";"var22";"var23";"var24";"atividade";"acesso";"confianca";"total"
"30450";163;171;1;1;1;1;1;0;0;3;3;2;2;2;3;1;2;2;2;3;3;2;2;2;2;3;3;4;22;20;46
"30455";169;171;1;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;1;1;2;24;19;45
"30456";170;171;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;2;3;3;3;3;3;3;3;3;3;23;24;50
"30470";184;171;1;1;1;1;1;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;24;24;52
"30472";186;171;0;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;24;24;50
"30473";187;171;1;0;0;1;1;0;0;3;3;3;1;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;22;24;48
"30474";188;171;0;1;1;1;0;0;0;3;2;3;2;3;3;1;1;3;2;3;2;3;3;3;2;3;3;3;23;22;48
"30476";190;171;1;1;0;0;0;0;0;2;3;2;2;2;2;1;1;3;2;2;2;3;2;2;2;3;3;1;20;19;40
"30478";192;171;0;0;0;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;0;24;24;48
"30480";194;171;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;3;2;3;3;0;18;20;38
"30481";195;171;0;0;0;0;0;0;0;2;3;2;2;3;1;1;1;1;2;2;2;3;2;3;2;3;3;0;18;20;38
"30502";21;172;1;1;1;1;0;0;0;3;3;3;3;3;3;1;2;1;3;3;3;2;2;3;2;3;3;3;25;21;49
"30516";35;172;1;1;1;0;0;0;0;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;1;3;3;2;27;22;51
"30536";55;172;1;1;1;1;0;0;0;3;3;3;2;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;26;24;53
"30547";66;172;1;1;1;1;0;1;0;3;3;1;1;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;20;24;48
"30548";67;172;1;1;1;1;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;30;24;58
"30595";117;172;0;0;0;0;0;0;0;2;3;3;2;3;1;1;2;2;3;3;3;3;3;3;2;3;3;0;22;23;45
"30596";118;172;1;1;0;0;0;0;0;1;3;1;1;1;1;1;1;3;2;2;3;1;3;3;1;3;3;1;15;19;35
"30629";155;172;1;1;1;0;0;0;0;3;3;2;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;2;24;24;50
"30632";158;172;1;1;1;1;1;0;0;3;3;1;1;3;1;1;2;1;1;1;1;3;2;3;2;3;3;4;17;18;39
